sample,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,|W_i|,W_i . W_ref,GyroXnew,GyroYnew,GyroZnew,Vx,Vy,Vz,ux,uy,uz,ux-angle,uy-angle,uz-angle
1900,-0.269775391,0.328125,0.836914063,7.102061069,7.475419847,0.19129771,10.31299026,106.3577681,7.102061069,7.475419847,0.19129771,13.96298295,14.26072558,0.261678715,0.699548189,0.714465153,0.013110155,45.60923365,44.40061632,89.24882193
1569,-0.364746094,0.396728516,0.720703125,9.13259542,8.620458015,0.008091603,12.55852941,129.3033412,9.13259542,8.620458015,0.008091603,,,,,,,,,
1561,-0.264892578,0.300537109,0.901855469,9.208931298,8.910534351,-0.182748092,12.81543737,131.9774185,9.208931298,8.910534351,-0.182748092,,,,,,,,,
1063,-0.251220703,0.287353516,0.883300781,-9.287251908,-9.295572519,0.19129771,13.1414349,-135.4103427,9.287251908,9.295572519,-0.19129771,,,,,,,,,
1401,-0.255859375,0.30859375,0.9375,-10.27198473,-10.52458015,0.282900763,14.70919748,-151.5738,10.27198473,10.52458015,-0.282900763,,,,,,,,,
1899,-0.260253906,0.328369141,0.872802734,10.1478626,10.71206107,0.412671756,14.76135717,152.226837,10.1478626,10.71206107,0.412671756,,,,,,,,,
1116,0.403808594,-0.343505859,0.842529297,-10.68419847,-10.30320611,-0.770534351,14.86276812,-153.0480229,10.68419847,10.30320611,0.770534351,,,,,,,,,
1097,0.171875,-0.094970703,0.910400391,-10.62312977,-10.57038168,-0.106412214,14.98649988,-154.4845138,10.62312977,10.57038168,0.106412214,,,,,,,,,
1078,-0.085693359,0.117431641,0.811279297,-10.86740458,-10.47114504,-0.785801527,15.11167908,-155.6074985,10.86740458,10.47114504,0.785801527,,,,,,,,,
1155,0.720703125,-0.651855469,0.328857422,-10.77580153,-11.10473282,-0.144580153,15.47429782,-159.5705985,10.77580153,11.10473282,0.144580153,,,,,,,,,
1810,0.710693359,-0.651367188,0.296630859,10.77381679,11.24641221,0.19129771,15.57541366,160.6245527,10.77381679,11.24641221,0.19129771,,,,,,,,,
1588,-0.565429688,0.655029297,0.482177734,11.69748092,10.88,0.12259542,15.97562172,164.432244,11.69748092,10.88,0.12259542,,,,,,,,,
1703,0.029541016,0.040283203,-0.978515625,11.3921374,11.23114504,-0.045343511,15.99754574,164.856506,11.3921374,11.23114504,-0.045343511,,,,,,,,,
1072,-0.123535156,0.058105469,1.054443359,-12.17274809,-12.00549618,0.832519084,17.1172668,-176.0384658,12.17274809,12.00549618,-0.832519084,,,,,,,,,
1080,-0.070800781,0.123535156,0.838623047,-12.1651145,-12.08183206,-0.388854962,17.14969052,-176.7885404,12.1651145,12.08183206,0.388854962,,,,,,,,,
1574,-0.428710938,0.467529297,0.737792969,12.5219084,11.71969466,-0.198015267,17.15192825,176.5031163,12.5219084,11.71969466,-0.198015267,,,,,,,,,
